天官冢宰第一	本或作冢宰上非餘卷放此
介次	音界或作分非
爲純	諸允反下同
四􁆓	音紙
與	音餘
中春	音仲
調度	徒弔反下待洛反或如字
穜	直龍反本或作重音同先種後熟曰穜案如字書禾旁作重是種稑之字作童是穜殖之字今俗則反之
稑	音六後種先熟曰稑本又作穋同
之種	章勇反注藏種同
傳類	直宣反下同
畨	音煩
孳	音兹本又作滋
又上	時掌反
而徧云	音遍絶句
從容	如字
内小臣使令	力呈反
道之	音導
相九	息亮反注同
爲后	于僞反
好事	呼報反下同
問遺	唯季反
御見	賢遍反下同
掖庭	劉音亦
􁆻人兩觀	古喚反
衰絰	徐音崔
刻識	式志反又音式
尨	亡江反
狂易	以豉反徐音陽
無帥	色類反注同
使者	色吏反
將帥	子匠反
苛	本又作呵呼河反又音何徐黒嗟反
則爲	于僞反
之闢	本又作辟婢亦反避也注同
掌埽	素報反
門燎	力召反又力弔反
寺人相	息亮反下及注同
道	徒報反後同
弔臨	良鴆反後同
内豎便疾	婢面反
俟朝	直遥反下同
則爲	于僞反注下同
遣車	弃戰反後遣車皆放此
頮沐	呼内反
九嬪婉	於阮反
娩	音晩
御見	賢遍反
月上	時掌反
放月	方往反
玉齍	音咨劉祖稽反
玉敦	音對
世婦濯摡	古愛反拭也
拭	音式淸也
涖陳	音利又音類
女御持翣	所甲反
如使	所吏反
之介	音界
女祝禱祠	丁考反一音都報反
梗	古猛反徐依鄭音亢
禬	古外反又戸外反
禳	如羊反
去之	起吕反下同
女史治之	直吏反注同
典婦功事齎	音咨本亦又粢
凡授	音受出注
其苦	音古
而賈	音嫁注下同
而楬	其列反
分別	彼列反
布紵	音佇
而著	直畧反徐張庶反
典絲受良	良音古出注
及依	於豈反
盥巾	音管
纊	音曠劉古曠反
線	似戰反
著	直畧反下同徐豬畧反
盱口	香于反
綦	劉音其沈音忌
握	烏學反劉烏豆反
文織	音志
茵	音因
會之	舊古外反戚戸外反
傅著	音附
典枲數物	色主反一音所
䔛	苦逈反又口潁反劉枯熒反
苦功	音古
内司服褘衣	音暉
揄狄	音遥
鞠衣	居六反又丘六反
展衣	張彦反注同
縁衣	或作褖同吐亂反
君卷	古本反下同
朝服	直遥反
屈狄	音闕
襢衣	張彦反
翬	音暉
見王	賢遍反
言亶	丹但反
玼	音此劉倉我反本亦作瑳與下瑳字同倉我反
展	如字
媛也	音援
其行	下孟反
作稅	劉吐亂反
白縳	劉音絹聲類以爲今作絹字說文云鮮色也居援反徐升卷反沈升絹反
張顯	如字徐音帳
喪衰	七雷反
以上	時掌反
紛	本又作帉芳云反
帨	始銳反佩巾徐音歳
鞶	歩干反
袠	陳乞反
縫人錦褚	張吕反
僞荒	鄭注禮記改僞爲帷
纁	許云反
翣	本又作䈉所甲反
纁披	彼僞反
衣翣	於旣反注同
度西	音宅古文㡯與度字相似因此而誤
接橮	劉上所甲反下音栁
歰	所甲反一音所立反
染人春暴	歩卜反劉歩落反注同
秋染	如琰反注染夏同
夏	戸雅反後除春夏之字皆同可以意求不復重也
作䵫	音勲一音鬱
始湛	徐子廉反劉慈鴆反
羽􁅮	古犬反
曰􁒔	直劉反劉音壽徐音酬
曰蹲	音存徐祖混反一音遵
曰希	如字劉張履反
以放	方往反
追師	丁回反下及注同
編	歩典反又必先反注同
冠禮	古亂反後冠禮同
毋追	音牟
君卷	古本反
紞	丁敢反
紘	音宏
綖	以然反徐羊戰反
歩繇	以招反本或作摇
假紒	音計
髲	皮寄反
髢	本又作鬄大計反劉音地
以見	賢遍反
亦纚	所買反又所綺反
追琢	丁角反
以縣	音玄
瑱	它見反
鬒	之忍反
屑鬄	大計反下同沈音剃
卷髮	卷免反劉羌權反
衣鞠	於旣反下衣縁同
移袂	昌氏反下同
純衣	側其反徐如字
屨人繶	於力反
靑句	音劬一音姜踰反
著服	徐丁庶反一知畧反
反與	音餘
有絇	音劬
有純	章允反下同
下縁	恱面反下同
礫	音歴
反覆	芳服反
以見	賢遍反
之救	戚如字劉音拘
著舄	知畧反又直畧反
中紃	音巡
衣翟	於旣反
非純	如字
去飾	起吕反下皆同
散屨	素但反注同
夏采以乗	繩證反注乗車皆同
建綏	而誰反注下同依字作緌誤作綏耳
適室	丁歷反
東榮	如字劉音營
衣尸	於旣反
復反	扶又反
朝服	直遥反
以卷	古本反
屈狄	音闕
玄赬	勑貞反
爲􁍩	音維徐音遂
於橦	直江反
